title,text,label
"Scientists Discover New Planet","Astronomers have found a generic new planet capable of supporting life in a nearby galaxy.",REAL
"Aliens Land in New York!","Extraterrestrials have landed in Central Park and are demanding free pizza for everyone.",FAKE
"Economy Grows by 3%","The latest financial report shows a steady increase in the national GDP over the last quarter.",REAL
"Man Bites Dog","In a bizarre turn of events, a local man was seen biting a dog. Experts are baffled.",FAKE
"New Tech Unveiled","The tech giant released its latest smartphone with holographic display technology.",REAL
"Water Turns into Wine","Local miracle worker claims to have turned the city reservoir into fine merlot.",FAKE
"Election Results Finalized","The electoral commission has released the final count for the recent polls.",REAL
"Flying Cars Now Available","A startup has begun mass production of affordable flying cars for the general public.",FAKE
"Stock Market Crash","The stock market took a massive hit today due to unexpected inflation reports.",REAL
"Zombie Outbreak in London","Reports of the walking dead taking over London streets have been confirmed by no one.",FAKE
"New Cure for Common Cold","Researchers have developed a pill that cures the common cold instantly.",REAL
"Time Travel Proved","A physicist claims to have built a working time machine in his garage.",FAKE
"Local Hero Saves Cat","A firefighter climbed a tree to save a stuck kitten in the downtown area.",REAL
"Bigfoot Sighted","Hikers claim to have seen Bigfoot sharing a sandwich with a bear.",FAKE
"Education Reform Passed","New legislation promises to overhaul the public school system next year.",REAL
"Moon Made of Cheese","Exclusive samples from the latest lunar mission confirm the moon is made of cheddar.",FAKE
"DeepSeek R1 Model Released","DeepSeek disrupts AI landscape with its R1 model, challenging major tech giants.",REAL
"Nvidia Unveils Vera Rubin NVL72","Nvidia introduces the Vera Rubin NVL72, a rack-scale AI supercomputer.",REAL
"SpaceX Mars Colony Established","Elon Musk announces the first successful permanent settlement on Mars.",FAKE
"Quantum Computers Crack All Passwords","New quantum algorithm decrypts all global banking passwords overnight.",FAKE
"Flying Car Traffic Jams","Sky highways in Tokyo gridlocked as flying car adoption soars.",FAKE
"AI Wins Nobel Prize","For the first time, an AI model has been awarded the Nobel Prize in Physics.",FAKE
"Google Antitrust Ruling","Google faces major penalties in landmark antitrust case.",REAL
"Humanoid Robot Games 2025","Athletes compete against robots in the first World Humanoid Robot Games.",REAL
"Time Reflections Confirmed","Scientists experimentally confirm the existence of time reflections.",REAL
"Telepathy Chip Available for Consumers","Startup launches brain chip allowing telepathic communication.",FAKE
"Ocean Water Desalination Breakthrough","New limitless energy method turns all ocean water into fresh water instantly.",FAKE
"Virtual Reality Replacing Schools","Government announces plan to close all physical schools in favor of VR classrooms.",FAKE
"AI Doctor Performs Heart Surgery","Autonomous AI robot successfully performs first unassisted heart transplant.",REAL
"Bitcoin Reaches $1 Million","Cryptocurrency hits historic milestone of one million dollars per coin.",FAKE
"Global Internet Blackout Scheduled","UN announces a scheduled 24-hour global internet shutdown for maintenance.",FAKE